title,href,price,property_type
1 Bed House in Palmridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4375556,R 240 000,House
1 Bed House in Katlehong,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4149944,R 240 000,House
1 Bed Apartment in Kenilworth,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/kenilworth/T4473710,R 249 000,Apartment
1 Bed Flat in Turffontein,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/turffontein/u5-st-michaels-court/74-sheffield-street-st-michaels-court/T4486966,R 250 000,Flat
1 Bed Flat in Turffontein,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/turffontein/76-sheffield-street-st-michaels-court/T4486291,R 250 000,Flat
1 Bed Apartment in Townsview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/rosettenville/T3756961,Sold,Apartment
2 Bed House in Katlehong,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4185986,R 250 000,House
1 Bed Flat in Turffontein,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/turffontein/74-sheffield-street-st-michaels-court/T4486243,R 260 000,Flat
2 Bed House in Palmridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4438542,R 260 000,House
2 Bed House in Palmridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4375137,R 260 000,House
2 Bed House in Palmridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/katlehong/T4149942,R 260 000,House
1 Bed Apartment in Rosettenville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/rosettenville/T4477308,R 270 000,Apartment
7 Bed House in Cosmo City,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/cosmo-city/42-bangkok-crescent/T4520132,R 2 000 000,House
4 Bed House in Johannesburg North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/johannesburg-north/187-church-street/T4402057,R 2 000 000,House
3 Bed House in Northwold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/northwold/T4496506,R 2 000 000,House
4 Bed Cluster in Bromhof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/bromhof/T4463535,R 2 000 000,Cluster
