Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Lounges,Kitchen,Main Value 3,Price,Floor Area,Province,City,Suburb,Area,Price per Sqm,Type,Max Price,Max Price Href,Potential Profit
7265,2 Bed Townhouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4364925,2.0,2.0,1.0,,RatesR 261,1150000.0,101.0,gauteng,johannesburg,johannesburg-south,oakdene,11386.138613861385,,1399000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/186-balboa-park/100100-oakdene-parks-drive/T4448585,249000.0
4521,2 Bed Townhouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/33-sashann/19-comaro-street/T4419643,2.0,1.0,1.0,1.0,LevyR 1178,1150000.0,101.0,gauteng,johannesburg,johannesburg-south,oakdene,11386.138613861385,,1399000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/186-balboa-park/100100-oakdene-parks-drive/T4448585,249000.0
4173,2 Bed Flat in Kibler Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/kibler-park/16-bermudas/18-pieter-place/T4174387,2.0,1.0,1.0,,RatesR 205,820000.0,72.0,gauteng,johannesburg,johannesburg-south,kibler-park,11388.888888888889,Flat,820000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/kibler-park/16-bermudas/18-pieter-place/T4174387,0.0
4969,2 Bed Apartment in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/160-central-park/55-oakdene-park-drive/T4504368,2.0,2.0,1.0,1.0,,980000.0,86.0,gauteng,johannesburg,johannesburg-south,oakdene,11395.348837209302,Apartment,1145000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4225183,165000.0
4339,2 Bed Penthouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/136-central-park/1-oakdene-park-drive/T11366,2.0,2.0,1.0,1.0,LevyR 1500,980000.0,86.0,gauteng,johannesburg,johannesburg-south,oakdene,11395.348837209302,,980000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/136-central-park/1-oakdene-park-drive/T11366,0.0
5099,2 Bed Townhouse in Linmeyer,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/linmeyer/26-linridge/1-diedericks-street/T3998584,2.0,1.0,1.0,,LevyR 1533,490000.0,43.0,gauteng,johannesburg,johannesburg-south,linmeyer,11395.348837209302,,550000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/linmeyer/62-linridge/63-tosca-and-diedricks-street/T4094927,60000.0
9294,2 Bed Townhouse in Naturena,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/naturena/T4508261,2.0,1.0,2.0,,,570000.0,50.0,gauteng,johannesburg,johannesburg-south,naturena,11400.0,,570000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/naturena/T4508261,0.0
4889,3 Bed Townhouse in Ridgeway,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/119-leopard-rock/81-hendrina-street/T4427141,3.0,1.0,1.0,,,650000.0,57.0,gauteng,johannesburg,johannesburg-south,ridgeway,11403.508771929824,,670000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/51-jeanette-street-lion-ridge/T4393119,20000.0
9006,3 Bed Townhouse in Ridgeway,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/T4491045,3.0,1.0,1.0,1.0,RatesR 350,650000.0,57.0,gauteng,johannesburg,johannesburg-south,ridgeway,11403.508771929824,,670000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/51-jeanette-street-lion-ridge/T4393119,20000.0
4007,2 Bed Townhouse in Ridgeway,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/19-village-green/20-denton-street/T4424688,2.0,1.0,1.0,,LevyR 1700,650000.0,57.0,gauteng,johannesburg,johannesburg-south,ridgeway,11403.508771929824,,650000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/19-village-green/20-denton-street/T4424688,0.0
